"Indicator","Type","Description","Reference"
"98.143.148.72","IP","Domain - nbcpost.com, URL - rss.nbcpost.com/news/today/content.php", "https://401trg.pw/turla-watering-hole-campaigns-2016-2017"
"107.155.99.133","IP","Domain - travelclothes.org, URL - static.travelclothes.org/main.js", "https://401trg.pw/turla-watering-hole-campaigns-2016-2017"
"58.158.177.102","IP","Domain - epsoncorp.com, drivers.epsoncorp.com/plugin/analytics/counter.js", "https://401trg.pw/turla-watering-hole-campaigns-2016-2017"
"185.68.16.62","IP","DOMAIN - msgcollection.com URL - msgcollection.com/templates/nivoslider/loading.php","https://401trg.pw/turla-watering-hole-campaigns-2016-2017"
"58.158.177.102","IP","DOMAIN - mentalhealthcheck.net, URL - mentalhealthcheck.net/update/check.php mentalhealthcheck.net/update/counter.js mentalhealthcheck.net//update/counter.js","https://401trg.pw/turla-watering-hole-campaigns-2016-2017"
"209.99.64.25","IP","DOMAIN - alessandrosl.com, URL - alessandrosl.com/core/modules/mailer/mailer.php","https://401trg.pw/turla-watering-hole-campaigns-2016-2017"
"74.208.70.127","IP","DOMAIN - loveandlight.aws3.net, URL - loveandlight.aws3.net/wp-includes/theme-compat/akismet.php","https://401trg.pw/turla-watering-hole-campaigns-2016-2017"
