"Indicator","Type","Description","Reference"
"37F21CF3015D3BF0AE110353C1EDDAB5","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"DE958C34D0DC248FCD585D5167A92F79","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"84FA8F6D0DD1C7C4AFF192A662746EC3","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"761C96290B7517BB59A206FB67825A38","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"3360462224EB2AF47AB3A7C90B403667","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"AB3DD6EE0F346709192162A317616A0A","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"6AA17A48F8EA944282812954676F0AD8","FILE MD5","","https://401trg.pw/large_scale_ircbot_infection_attempts"
"5.189.143.2","IP","IRC Server","https://401trg.pw/large_scale_ircbot_infection_attempts"
"216.157.85.5","IP","IRC Server (only.god.jp)","https://401trg.pw/large_scale_ircbot_infection_attempts"
"209.90.232.99","IP","Malware Drop Location","https://401trg.pw/large_scale_ircbot_infection_attempts"
"181.113.26.66","IP","Malware Drop Location","https://401trg.pw/large_scale_ircbot_infection_attempts"
"106.75.100.241","IP","Malware Drop Location","https://401trg.pw/large_scale_ircbot_infection_attempts"
"213.174.157.151","IP","Malware Drop Location (idip.do[.]am)","https://401trg.pw/large_scale_ircbot_infection_attempts"
