"Indicator","Type","Description","Reference"
"12eb8a9f1a7cd1cc10e57847dd5476c6062b9e58","CERT SHA1","","Reference_URL"
"8df0b63fbdd9616d581bdb101929eb17f80f9e99","CERT SHA1","","Reference_URL"
"92a1c7e1fd5afccd957e7fcbcdd2431eb9bf3d50","CERT SHA1","","Reference_URL"
"a22d97e4ede82ae8375522aca59db575d08c5c35","CERT SHA1","","Reference_URL"
"ddf115821717dabb5e69c753d27460242204031e","CERT SHA1","","Reference_URL"
"5e0fa58bf1c4c1b63144052063dc2bb9129aa1f3","CERT SHA1","","Reference_URL"
"c3e55bd6fe0205fe7dc1ad53ed03db269ba5da71","CERT SHA1","","Reference_URL"
"1cc87c7c900d584400c5c82073672888fefb145e","CERT SHA1","","Reference_URL"
"ca2854658dff72da77bf82c1fe5899d09f9f559d","CERT SHA1","","Reference_URL"
"93caf237baa37cd42dfc4653ffc1792fcbad4642","CERT SHA1","","Reference_URL"
"aff17a2e1969e4bf81dbaa3591778887546570cb","CERT SHA1","","Reference_URL"
"3f3da327ca330396f1ab0a543be284f85d9d414a","CERT SHA1","","Reference_URL"
"y177054.ppp.asahi-net.or.jp","DOMAIN","","Reference_URL"
"newsite.parakaro.co.jp","DOMAIN","","Reference_URL"
"www.hyper.parakaro.co.jp","DOMAIN","","Reference_URL"
"office.parakaro.co.jp","DOMAIN","","Reference_URL"
"hyper.parakaro.co.jp","DOMAIN","","Reference_URL"
"peq.parakaro.co.jp","DOMAIN","","Reference_URL"
"next.parakaro.co.jp","DOMAIN","","Reference_URL"
"ftp.parakaro.co.jp","DOMAIN","","Reference_URL"
"52.199.171.117","IP","","Reference_URL"
"118.243.177.54","IP","","Reference_URL"
